cph,x,y,infDay
195/0097,219330.0,587280.0,80
195/0099,213974.0,584757.0,103
195/0100,211673.0,585679.0,115
195/0101,215085.0,589625.0,97
195/0106,211279.0,584232.0,107
195/0110,216858.0,586147.0,104
195/0123,226863.0,580457.0,130
195/0128,230873.0,577164.0,129
195/0141,213735.0,588642.0,91
195/0142,220750.0,582879.0,101
196/0001,228149.0,602090.0,117
196/0004,231691.3245,601800.3274,97
196/0009,227896.0,601196.0,96
196/0016,224166.0,600212.0,90
196/0022,228951.0,601373.0,100
196/0023,221660.0,599087.0,112
196/0024,222832.0,601292.0,103
196/0025,227246.0,602822.0,91
196/0026,226230.0,600334.0,89
196/0036,223417.0,600161.0,118
196/0038,225328.0,595767.0,72
196/0044,224938.0,602792.0,129
196/0054,226687.0,603806.0,97
196/0064,228803.0,601087.0,116
196/0071,227558.0,604378.0,135
197/0003,221057.0,599988.0,113
197/0007,221076.0,592532.0,103
197/0008,221574.0,599744.0,130
197/0014,218798.0,593908.0,108
197/0019,219065.0,599473.0,98
197/0020,218790.0,595368.0,93
197/0021,220622.0,599087.0,107
197/0024,218646.0,593393.0,110
197/0028,223231.0,594368.0,70
197/0031,222458.0,595881.0,108
197/0032,219895.0,591561.0,118
197/0034,220899.0,594208.0,99
197/0037,217339.0,595180.0,96
197/0039,216427.0,593624.0,89
197/0040,221536.0,601108.0,113
197/0053,217271.0,591790.0,98
197/0054,221293.0,590716.0,92
197/0056,216427.0,593624.0,119
198/0008,236851.0,639939.0,125
198/0019,239192.0,643191.0,129
199/0023,235647.0,643022.0,118
200/0074,233861.0,645521.0,145
200/0100,234891.0,644325.0,145
200/0109,235910.0,646215.0,113
201/0042,236221.0,650041.0,103
201/0046,239049.0,652063.0,140
201/0116,239564.0,654101.0,133
202/0005,226895.0,652603.0,109
202/0019,230959.0,645329.0,132
202/0023,230442.0,648866.0,116
202/0040,231412.0,652024.0,140
202/0052,229204.0,652328.0,119
202/0058,224965.0,657447.0,118
202/0062,224379.0,651074.0,120
202/0083,227179.0,651185.0,134
202/0092,227319.0,648540.0,115
202/0123,224982.3427,649038.7833,133
203/0003,230989.0,655988.0,109
203/0022,231802.6149,658102.8703,121
204/0005,239083.0,649234.0,124
204/0011,241706.0,648712.0,145
204/0017,242744.0,650243.0,134
204/0029,241706.0,650893.0,105
204/0065,243611.0,653883.0,113
205/0023,244177.0,644881.0,104
205/0026,246344.0,642215.0,103
205/0033,252996.0,646892.0,107
205/0039,248476.0,647436.0,119
205/0049,249087.0,643793.0,120
205/0054,250614.0,643984.0,101
205/0062,249925.0,646315.0,117
205/0066,248540.0,641596.0,97
205/0074,247853.0,643092.0,119
205/0092,253723.0,644038.0,91
205/0108,249502.0,642195.0,117
205/0144,249110.0,642803.0,146
206/0010,247331.0,639399.0,131
206/0012,245533.0,639533.0,114
206/0013,244908.0,639241.0,113
206/0017,249321.0,640543.0,108
206/0024,244889.0,638259.0,123
206/0026,245533.0,639533.0,144
206/0038,250214.0,640779.0,90
207/0023,238819.0,636795.0,149
207/0030,239913.0,639521.0,129
207/0033,242519.0,640798.0,117
207/0041,240845.0,640782.0,142
207/0059,239248.9974,640313.4774,134
207/0065,238195.0,639276.0,134
208/0011,244406.0,634763.0,105
208/0028,244406.0,634763.0,119
208/0040,242418.0,634112.0,120
208/0045,245561.0,635775.0,126
208/0048,245883.0,635122.0,119
208/0050,244406.0,634763.0,132
208/0053,245716.0,633985.0,131
208/0056,246459.0,637587.0,126
208/0062,240807.0,634232.0,128
208/0065,246731.0,633248.0,119
209/0024,243030.984,645298.6426,114
209/0053,241847.0,646953.0,132
209/0057,235941.0,642712.0,128
209/0082,241463.0,643736.0,121
209/0083,237848.0,642764.0,100
209/0099,244333.0,647362.0,137
209/0105,238499.0,647845.0,118
209/0124,239594.0,645501.0,111
209/0145,244284.0,648439.0,108
209/0183,241847.0,646953.0,135
210/0001,234714.0,610018.0,110
210/0003,231564.0,605603.0,104
210/0005,232630.0,605974.0,100
210/0007,231685.0,604313.0,106
210/0009,235115.0,605736.0,114
210/0013,235357.0,613818.0,98
210/0015,235577.0,611680.0,118
210/0019,234189.0,607772.0,108
210/0025,234590.0,608239.0,112
210/0026,239786.0,612626.0,104
210/0027,232068.0,606248.0,126
210/0031,232655.0,607302.0,105
210/0036,232358.0,607343.0,114
210/0038,233891.0,605125.0,92
210/0039,234641.0,611184.0,78
210/0040,234966.5879,612544.9548,113
210/0043,231685.0,604313.0,79
210/0046,235064.0,608028.0,120
210/0047,235323.0,612894.0,95
210/0048,232753.0,611206.0,108
210/0051,236985.0,610959.0,115
210/0053,236862.0,612452.0,107
210/0054,236574.0,608580.0,117
210/0055,232912.0,604698.0,120
210/0057,237701.0,608345.0,124
210/0058,237481.0,608915.0,99
210/0072,236938.0,609427.0,92
210/0077,235461.0,609946.0,103
210/0080,234701.0,606477.0,99
210/0081,233871.0,603278.0,109
210/0083,233984.0,609374.0,95
210/0086,235860.0,610666.0,97
210/0087,237221.0,613571.0,102
210/0092,239291.0,613817.0,122
211/0001,224582.0,609491.0,106
211/0005,225066.0,606785.0,93
211/0008,221039.0,602512.0,118
211/0011,223079.0,604868.0,100
211/0012,221616.0,604269.0,108
211/0015,223036.0,605489.0,99
211/0018,220961.0,605083.0,117
211/0022,221101.0,606719.0,106
211/0026,220490.0,605518.0,110
211/0030,222240.0,603111.0,110
211/0032,227594.0,605907.0,135
211/0039,223924.0,604494.0,92
211/0048,220204.0,602274.0,120
211/0050,224222.0,606241.0,112
211/0052,224876.0,607094.0,122
211/0060,224423.0,603617.0,98
211/0065,222072.0,603623.0,134
211/0070,224551.0,605970.0,125
212/0001,230795.0,609767.0,109
212/0002,228909.0,607133.0,109
212/0003,228911.0,607099.0,97
212/0008,230276.0,607263.0,119
212/0019,231288.0,611634.0,117
212/0022,232551.0,609485.0,118
212/0023,229412.0,611504.0,113
212/0035,231323.0,609252.0,110
212/0042,230889.3605,617239.6183,115
212/0043,227983.0,610536.0,125
212/0050,228711.0,612873.0,110
212/0051,226546.0,610927.0,109
212/0058,229569.0,612959.0,127
212/0059,229954.0,614891.0,137
212/0060,231056.0,605742.0,96
212/0061,230431.0,614751.0,111
212/0062,227005.0,610799.0,124
212/0067,229040.0,616980.0,105
212/0068,228892.0,609396.0,89
212/0073,230143.0,607992.0,100
212/0077,228857.0,610469.0,105
212/0079,231323.0,609252.0,125
212/0080,228147.0,608484.0,121
212/0083,231804.0,611509.0,115
212/0095,228447.0,613869.0,95
212/0097,230913.0,608176.0,131
212/0102,229629.0,617733.0,138
212/0163,230713.0,610524.0,117
213/0005,238250.0,601900.0,132
213/0008,247350.0,602817.0,93
213/0012,237950.0,605922.0,99
213/0013,240071.0,605838.0,93
213/0014,238397.5082,610146.3855,116
213/0017,244734.0,606386.0,95
213/0018,235116.0,603487.0,112
213/0019,238159.0,601209.0,97
213/0021,239091.0,601083.0,99
213/0024,238758.0,602694.0,92
213/0026,243266.0,600635.0,93
213/0029,240593.0,611859.0,96
213/0033,242188.0,601124.0,94
213/0035,239027.0,610686.0,96
213/0038,248637.0,596802.0,79
213/0044,243312.0,608438.0,77
214/0003,260082.0,637303.0,92
214/0010,257452.8724,636316.7872,118
214/0012,258659.1107,636514.1717,94
214/0013,258880.0,636006.0,109
214/0015,254028.0,636290.0,104
214/0016,260403.0,636021.0,102
214/0018,258606.0,636056.0,94
214/0033,254734.206,634303.6576,111
214/0042,247316.0,636464.0,112
214/0050,249824.0,632615.0,105
214/0052,250657.0,632511.0,118
214/0055,251908.1593,634695.0522,106
214/0056,251147.5168,635499.0911,147
214/0062,250183.0,636564.0,120
214/0070,249939.6896,635683.6324,131
214/0073,251204.0,634015.0,99
214/0078,250308.0,633526.0,140
214/0079,252518.0,633225.0,118
214/0108,250983.1678,633051.3266,109
214/0126,257328.0,637235.0,93
215/0004,256765.0,640643.0,101
215/0010,256426.0,638684.0,114
215/0022,258755.7219,639626.9922,103
215/0024,259688.0,638321.0,137
215/0029,251181.0,639690.0,100
215/0038,260959.7173,638107.7768,109
215/0040,249183.0,638799.0,100
215/0044,256224.6671,639286.343,103
215/0045,251764.0,638956.0,110
215/0070,252013.0,637854.0,131
215/0071,255621.3767,640849.6573,106
215/0083,254250.0,637217.0,120
215/0096,259277.0,638735.0,93
215/0117,256666.0,639907.0,96
216/0008,227798.0,647408.0,148
216/0037,224642.0,644636.0,117
217/0010,220002.0,665356.0,134
219/0020,221869.0,647948.0,103
219/0042,219588.0,648711.0,131
242/0001,376036.0,662093.0,106
242/0005,378721.0,663168.0,132
242/0007,375855.0,662180.0,96
243/0014,393318.0,658996.0,97
244/0003,382979.0,658024.0,130
244/0004,380943.0,660313.0,117
244/0009,380364.0,657139.0,130
245/0014,387548.0,657604.0,95
246/0004,376081.0,664304.0,106
246/0010,380691.8599,667818.0622,124
246/0016,374342.2228,666694.4109,104
246/0017,374772.0,666907.0,100
247/0062,382141.0,663695.0,107
247/0098,387757.0,667580.0,121
247/0131,381527.0,665784.0,129
250/0001,389909.0,652560.0,118
251/0009,395439.0,656513.0,120
252/0026,379573.0,642119.0,142
253/0001,369810.0,661367.0,121
253/0004,369987.1055,660894.6768,121
254/0009,376769.0,659462.0,121
254/0030,374494.0,658692.0,97
254/0038,374617.0,657142.0,138
254/0049,380122.0,654668.0,108
255/0004,373040.0,641193.0,105
255/0008,377765.0,642262.0,113
255/0018,379797.0078,643527.1775,93
255/0027,377033.0,644480.0,105
255/0034,375655.0,640549.0,110
256/0006,379720.0,650821.0,98
256/0022,384117.0,652470.0,108
258/0004,373129.0,645325.0,103
258/0018,367286.0,648542.0,118
258/0042,368463.0,651120.0,92
258/0043,369879.943,653280.7379,100
259/0008,387370.9213,647800.0648,129
260/0005,373446.0,652481.0,116
260/0006,374788.0,651358.0,99
260/0007,375360.0,654059.0,113
260/0011,371762.0,656049.0,100
261/0009,368975.0,659565.0,136
261/0016,367399.0,656214.0,99
264/0019,383578.0,650836.0,98
265/0002,348832.0,655471.0,95
265/0005,347014.0,652114.0,90
265/0006,349691.0,651547.0,107
265/0009,348293.0,654586.0,99
265/0010,349765.0,653664.0,107
265/0011,346928.0,653761.0,100
265/0017,349041.0,655288.0,98
265/0023,348226.0,653466.0,125
265/0024,346976.5718,657414.9275,117
265/0025,348336.9223,651718.2698,93
265/0029,349404.0,656912.0,119
265/0031,350097.0,653493.0,134
266/0017,359904.0,637747.0,124
266/0019,365207.5158,640837.5736,110
266/0025,358042.0,637480.0,125
266/0028,362066.0,640615.0,96
266/0029,361285.7459,638374.9198,96
266/0034,358091.0,635655.0,102
266/0036,360258.0,635457.0,111
266/0037,361247.0,638907.0,97
266/0041,357587.0,639663.0,118
267/0002,364483.0,642926.0,126
267/0005,363278.7486,643665.3002,98
267/0014,361381.2778,643646.0183,110
267/0015,366295.0,646783.0,107
267/0016,368963.0,645598.0,114
267/0017,367658.0,645272.0,101
267/0018,364685.0,645319.0,117
267/0019,368870.0,643299.0,96
267/0020,366249.0,643041.0,69
267/0022,364685.0,645319.0,136
267/0027,368963.0,645598.0,99
268/0005,368365.0,641135.0,136
268/0009,371634.0,640602.0,117
268/0012,371715.0,641841.0,101
268/0013,372205.1559,642536.9482,99
269/0001,348255.0,649163.0,102
269/0002,351995.0,653162.0,131
269/0003,356926.6406,654061.2874,93
269/0004,356719.0,647842.0,96
269/0014,353480.0,649844.0,96
269/0017,354435.0,646690.0,93
269/0018,349985.9713,649444.2313,101
269/0021,353225.0,649936.0,77
269/0027,355579.0,645976.0,90
269/0029,351139.0,645437.0,94
269/0030,349873.0,647935.0,72
269/0031,353225.0,649936.0,95
269/0036,351788.0,647443.0,119
